Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text
Expanded_tableSaw,blocks,Workstation,,,Table Saw,
Expanded_tableSawDesc,blocks,Workstation,,,"Create furniture, advanced shapes and decorations for your base.",
Expanded_KitchenFurnitureVariantHelper,blocks,Variant,,,"Kitchen Furniture's",
Expanded_KitchenFurnitureVariantHelperDesc,blocks,Variant,,,"Craft various kitchen furniture decor items with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the radial menu. Click or Shift-Click to select a variant to build with.",
Expanded_HomeFurnitureVariantHelper,blocks,Variant,,,"Home Furniture's",
Expanded_HomeFurnitureVariantHelperDesc,blocks,Variant,,,"Craft various home furniture decor items with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the radial menu. Click or Shift-Click to select a variant to build with.",
Expanded_ConstructionVariantHelper,blocks,Variant,,,"Construction Decorative Blocks",
Expanded_ConstructionVariantHelperDesc,blocks,Variant,,,"Craft various construction decorative items with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the radial menu. Click or Shift-Click to select a variant to build with.",
Expanded_TechnologyVariantHelper,blocks,Variant,,,"Technology Decorative Blocks",
Expanded_TechnologyVariantHelperDesc,blocks,Variant,,,"Craft various technology decorative items with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the radial menu. Click or Shift-Click to select a variant to build with.",
Expanded_LightsVariantHelper,blocks,Variant,,,"Lights",
Expanded_LightsVariantHelperDesc,blocks,Variant,,,"Craft various light fixtures decorative items with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the radial menu. Click or Shift-Click to select a variant to build with.\nUse the wiring tool to connect a power source to these lights and you should be able to turn them on.",
Expanded_DoorsVariantHelper,blocks,Variant,,,"Doors",
Expanded_DoorsVariantHelperDesc,blocks,Variant,,,"Craft various door items with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the radial menu. Click or Shift-Click to select a variant to build with.",
Expanded_woodFrameBlockVariantHelper,blocks,Variant,,,"Wood Frame Block (Expanded)",
Expanded_woodFrameBlockVariantHelperDesc,blocks,Variant,,,"Put the crafted block on your hotbar, hold the Reload action and select the Shape entry from the radial menu. Click or Shift-Click to select a variant to build with.\nAlso contains all the default wood frame blocks.",
Expanded_woodDecorBlockVariantHelper,blocks,Variant,,,"Wood Decorative Blocks",
Expanded_woodDecorBlockVariantHelperDesc,blocks,Variant,,,"Craft various wood decorative items with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the radial menu. Click or Shift-Click to select a variant to build with.",
Expanded_signShopOpen,blocks,Sign,,,Shop Sign: Open,
Expanded_streetLight01,blocks,Light,,,Street Light,
Expanded_streetLightClassic,blocks,Light,,,Street Light Classic,
Expanded_roadBarricadeLight,blocks,Light,,,Road Barricade Light,
Expanded_porchLight01,blocks,Light,,,Old Outdoor Light,
Expanded_wallLight01,blocks,Light,,,Warehouse Outdoor Light,
Expanded_porchLight04,blocks,Light,,,Iron Outdoor Light,
Expanded_porchLight04Brass,blocks,Light,,,Brass Outdoor Light,
